direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 86
right,right,9.0,1.0,4.0,left,0.0,0.510256459001539,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,4.0,1.0,9.0,1.0,76.3626546250016,,,,,,,,,76.35550683300244,77.15360154100199,77.94528029100184,77.93744554099976,77.93821962500078,77.94528029100184,77.94528029100184,77.94528029100184,78.46012195799995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,0.510256459001539,,,,,sub-210,1,random_dot,,
left,left,10.0,0.0,5.0,right,0.0,0.5743668329996581,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,5.0,0.0,10.0,0.0,78.46907970800021,,,,,,,,,78.46046595799999,78.55832633300088,79.35259550000046,79.34335691600063,79.34382837500016,79.35259550000046,79.35259550000046,79.35259550000046,79.92843133300266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.5743668329996581,,,,,sub-210,1,random_dot,,
right,right,11.0,1.0,5.0,left,0.0,0.442881999999372,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,5.0,1.0,11.0,1.0,79.93554929099992,,,,,,,,,79.92889541600016,80.27765129100226,81.07942679100233,81.07088075000138,81.07165291600177,81.07942679100233,81.07942679100233,81.07942679100233,81.5247159160026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,0.442881999999372,,,,,sub-210,1,random_dot,,
right,right,12.0,0.0,6.0,right,1.0,0.3662640830007149,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,6.0,0.0,12.0,1.0,81.53695795800013,,,,,,,,,81.52505020800163,82.32041016600124,83.11171662500055,83.10394412499954,83.10450337500151,83.11171662500055,83.11171662500055,83.11171662500055,83.48820770800012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.3662640830007149,,,,,sub-210,1,random_dot,,
left,left,13.0,1.0,6.0,left,1.0,0.3923352919991885,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,6.0,1.0,13.0,0.0,83.49477158300215,,,,,,,,,83.48874875000183,84.67698045799989,85.47858412500136,85.47060008300105,85.47120562500277,85.47858412500136,85.47858412500136,85.47858412500136,85.88105033300235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.3923352919991885,,,,,sub-210,1,random_dot,,
left,left,14.0,0.0,7.0,right,0.0,0.5750111249981273,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,7.0,0.0,14.0,0.0,85.88534070800233,,,,,,,,,85.88141200000246,85.9749711250006,86.76924687500286,86.76014204100284,86.76062550000279,86.76924687500286,86.76924687500286,86.76924687500286,87.3551801249996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.5750111249981273,,,,,sub-210,1,random_dot,,
right,right,15.0,1.0,7.0,right,1.0,0.7472457910007506,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,7.0,1.0,15.0,1.0,87.36216404100196,,,,,,,,,87.35567775000163,88.15365787500195,88.94488362500124,88.93711600000097,88.93768016600006,88.94488362500124,88.94488362500124,88.94488362500124,89.69522883299942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.7472457910007506,,,,,sub-210,1,random_dot,,
left,left,16.0,0.0,8.0,left,1.0,0.7009145419979177,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,8.0,0.0,16.0,0.0,89.70220429099936,,,,,,,,,89.6957132910029,89.79230908300087,90.58649116600282,90.57620987500196,90.57672041600016,90.58649116600282,90.58649116600282,90.58649116600282,91.28927970800214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.7009145419979177,,,,,sub-210,1,random_dot,,
right,right,17.0,1.0,8.0,right,1.0,0.6084160419995897,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,8.0,1.0,17.0,1.0,91.29622645800193,,,,,,,,,91.28979916600292,91.38693120800237,92.17875754100169,92.17065220800214,92.1712585000023,92.17875754100169,92.17875754100169,92.17875754100169,92.79422162500124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.6084160419995897,,,,,sub-210,1,random_dot,,
left,left,18.0,0.0,9.0,right,0.0,0.644372458998987,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,9.0,0.0,18.0,0.0,92.80198825000116,,,,,,,,,92.79464791600184,93.99309220800204,94.7946441660024,94.78714679100084,94.78771308300202,94.7946441660024,94.7946441660024,94.7946441660024,95.44126087500264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.644372458998987,,,,,sub-210,1,random_dot,,
right,right,19.0,1.0,9.0,right,1.0,0.90761270800067,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,9.0,1.0,19.0,1.0,95.453556708002,,,,,,,,,95.44161237500155,96.6369414159999,97.42910429100084,97.42067829100051,97.42146137500094,97.42910429100084,97.42910429100084,97.42910429100084,98.33840212500218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.90761270800067,,,,,sub-210,1,random_dot,,
right,right,20.0,0.0,10.0,right,1.0,0.9248223329996108,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,10.0,0.0,20.0,1.0,98.34548491600071,,,,,,,,,98.3389427910006,99.13695999999982,99.9283623750016,99.92047637500218,99.9210864580018,99.9283623750016,99.9283623750016,99.9283623750016,100.85499450000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.9248223329996108,,,,,sub-210,1,random_dot,,
left,left,21.0,1.0,10.0,right,0.0,0.6720023749985558,,speed,space,1.0882429580015014,,,,,,0.0,0.0,0.0,1.0,10.0,1.0,21.0,0.0,100.86239070800002,,,,,,,,,100.85560149999948,100.95356837500005,101.7449357910009,101.737086000001,101.7376879580006,101.7449357910009,101.7449357910009,101.7449357910009,102.42147875000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.6720023749985558,,,,,sub-210,1,random_dot,,
