direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,stimulusDots.stopped,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0.0159172,0.0204788,0.0204788,42.2110799,space,64.2038369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,0,0,0,0,,,,,,,,,42.2747949,,,,,,,,,42.2698638,42.326396,43.127117,43.1103448,43.1103634,43.127117,43.127117,43.127117,48.1098107,53.9783565,left,1,32.8640637,None,53.9789962,53.9923957,54.4921811,54.4766441,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,0,1,1,1,,,,,,,,,54.4921811,,,,,,,,,54.4773408,55.2921216,56.092741,56.0763522,56.0763727,56.092741,56.092741,56.092741,61.0761415,61.2288897,left,0,27.1409728,None,61.2298437,61.241724,61.742069,61.7264339,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,1,0,2,1,,,,,,,,,61.742069,,,,,,,,,61.726861,61.8418466,62.6422207,62.6263349,62.62636,62.6422207,62.6422207,62.6422207,,67.4769819,left,0,26.8468529,None,67.4773496,67.4916959,67.9915437,67.9758733,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,1,1,3,0,,,,,,,,,67.9915437,,,,,,,,,67.9763994,68.3415313,69.1425472,69.1260416,69.1260622,69.1425472,69.1425472,69.1425472,,71.9113622,right,0,24.7757021,None,71.9119596,71.9250429,72.4248508,72.4093608,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,2,0,4,1,,,,,,,,,72.4248508,,,,,,,,,72.4098894,73.6250442,74.4253143,74.4091055,74.4091344,74.4253143,74.4253143,74.4253143,,77.7791987,left,0,25.3709919,None,77.7796817,77.7911661,78.2911987,78.2758189,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,2,1,5,0,,,,,,,,,78.2911987,,,,,,,,,78.2763665,78.6408864,79.4417418,79.4254722,79.4255133,79.4417418,79.4417418,79.4417418,,81.3103804,right,0,23.8878698,None,81.3109092,81.3244715,81.8243266,81.8090297,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,3,0,6,0,,,,,,,,,81.8243266,,,,,,,,,81.8096093,82.6242642,83.4252819,83.4085806,83.4086069,83.4252819,83.4252819,83.4252819,88.4083908,88.7594055,left,1,27.3415314,None,88.7598862,88.7738385,89.2738453,89.2587805,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,3,1,7,1,,,,,,,,,89.2738453,,,,,,,,,89.2591637,90.0740071,90.8746404,90.8584781,90.8585043,90.8746404,90.8746404,90.8746404,,94.0591238,left,0,25.1915637,None,94.0595764,94.0737186,94.5735664,94.5579437,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,4,0,8,0,,,,,,,,,94.5735664,,,,,,,,,94.5585484,95.7734906,96.5740257,96.5578029,96.5578269,96.5740257,96.5740257,96.5740257,,98.4093336,left,1,23.8471686,None,98.4097131,98.4234802,98.9234301,98.9073658,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,4,1,9,1,,,,,,,,,98.9234301,,,,,,,,,98.9078409,99.0235687,99.824117,99.8077304,99.8077518,99.824117,99.824117,99.824117,,103.6921181,left,0,25.8747582,None,103.6927847,103.7064122,104.2068389,104.1906004,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,5,0,10,0,,,,,,,,,104.2068389,,,,,,,,,104.1909391,104.3064927,105.1072904,105.0905426,105.0905603,105.1072904,105.1072904,105.1072904,,106.6918303,left,1,23.5894296,None,106.692379,106.7062685,107.2062759,107.1914002,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,5,1,11,1,,,,,,,,,107.2062759,,,,,,,,,107.1918619,107.306311,108.1069227,108.0906861,108.0907115,108.1069227,108.1069227,108.1069227,,110.4255111,right,1,24.3243142,None,110.4261413,110.4391108,110.9395427,110.9239922,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,6,0,12,1,,,,,,,,,110.9395427,,,,,,,,,110.9246215,111.7393936,112.5397923,112.5238384,112.5238733,112.5397923,112.5397923,112.5397923,,114.7090534,right,1,24.1884291,None,114.7099126,114.7224519,115.2226286,115.2068451,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,6,1,13,0,,,,,,,,,115.2226286,,,,,,,,,115.2073347,116.4223754,117.223519,117.2072928,117.2073766,117.223519,117.223519,117.223519,,118.9917639,right,0,23.7815515,None,118.9923008,119.0061772,119.5057092,119.4905094,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,7,0,14,0,,,,,,,,,119.5057092,,,,,,,,,119.4912063,120.705482,121.5065478,121.4908362,121.490862,121.5065478,121.5065478,121.5065478,,123.6093896,right,0,24.120446,None,123.6097972,123.622188,124.1219291,124.106228,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,7,1,15,1,,,,,,,,,124.1219291,,,,,,,,,124.1066052,124.4722503,125.272997,125.2565645,125.2565812,125.272997,125.272997,125.272997,,126.7908982,left,0,23.5366792,None,126.7914279,126.8052356,127.3053147,127.2898601,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,8,0,16,0,,,,,,,,,127.3053147,,,,,,,,,127.2902713,127.6553206,128.4561805,128.4397877,128.4398132,128.4561805,128.4561805,128.4561805,,130.4904319,left,1,24.046984,None,130.4907964,130.5050432,131.0050521,130.9894567,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,8,1,17,1,,,,,,,,,131.0050521,,,,,,,,,130.9898323,131.3549702,132.155783,132.139213,132.1392385,132.155783,132.155783,132.155783,,133.9405918,left,0,23.8008622,None,133.941262,133.9548464,134.4552055,134.4392687,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,,9,0,18,1,,,,,,,,,134.4552055,,,,,,,,,134.4396638,134.5549767,135.3554698,135.3390216,135.339041,135.3554698,135.3554698,135.3554698,,137.1066676,right,1,23.7640624,None,137.1071023,137.1216775,137.6214303,137.6056252,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,,9,1,19,0,,,,,,,,,137.6214303,,,,,,,,,137.6060076,138.8214242,139.6221705,139.605707,139.6057318,139.6221705,139.6221705,139.6221705,,142.1753304,left,1,24.5721073,None,142.175688,142.1879006,142.6879831,142.6720804,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.6721279,142.6879831,142.6879831,148.6390033,space,27.9626594,None,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.639031,148.6544731,148.6544731,157.6548554,space,31.0183018,None,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,0,0,0,1,162.3371292,,,,,,,,,162.3279955,162.6867688,163.4874239,163.4712441,163.4712678,163.4874239,163.4874239,163.4874239,,166.855441,right,1,25.3738064,None,,,,,,,,,,,,,,,,,,,157.6593992,157.684472,157.684472,162.3215438,space,26.6435745,None,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,0,1,1,0,166.8697883,,,,,,,,,166.856583,167.6698378,168.4703393,168.453775,168.4538009,168.4703393,168.4703393,168.4703393,173.4535452,174.3555292,right,0,27.9039003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,1,0,2,1,174.3695434,,,,,,,,,174.3566883,175.5693794,176.369828,176.3536723,176.3536976,176.369828,176.369828,176.369828,,180.1716231,left,0,25.8098188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,1,1,3,0,180.1856812,,,,,,,,,180.1726574,180.9861217,181.7865875,181.7701436,181.7701667,181.7865875,181.7865875,181.7865875,,185.5713811,right,0,25.7900843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,2,0,4,0,185.5856852,,,,,,,,,185.5723304,185.6857398,186.4863834,186.4698358,186.4698611,186.4863834,186.4863834,186.4863834,,189.3381136,right,0,24.8650147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,2,1,5,1,189.3523073,,,,,,,,,189.3388913,189.4524177,190.2531552,190.2373755,190.2374174,190.2531552,190.2531552,190.2531552,,193.1713177,right,1,24.9329572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,3,0,6,0,193.1854466,,,,,,,,,193.172444,193.985347,194.7858944,194.7692884,194.7693104,194.7858944,194.7858944,194.7858944,,197.8720851,right,0,25.1022023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,3,1,7,1,197.8850552,,,,,,,,,197.8732255,199.0847761,199.8854564,199.8692379,199.8692621,199.8854564,199.8854564,199.8854564,,202.2869321,left,0,24.4073131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,4,0,8,1,202.3016796,,,,,,,,,202.2876356,203.1015113,203.902181,203.8857495,203.8857683,203.902181,203.902181,203.902181,,207.2535621,right,1,25.357656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,4,1,9,0,207.2676274,,,,,,,,,207.2542629,208.4678739,209.2687292,209.2521865,209.2522101,209.2687292,209.2687292,209.2687292,,213.8878468,left,1,26.6376782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,5,0,10,1,213.9010272,,,,,,,,,213.8886064,215.1006857,215.9010857,215.8847736,215.8847962,215.9010857,215.9010857,215.9010857,,220.2022676,right,1,26.3120863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,5,1,11,0,220.2174694,,,,,,,,,220.2032388,221.017501,221.8180667,221.8021885,221.802217,221.8180667,221.8180667,221.8180667,,225.9190439,left,1,26.1080786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,6,0,12,0,225.9337864,,,,,,,,,225.9197258,226.7335498,227.5340614,227.51797,227.5179951,227.5340614,227.5340614,227.5340614,,231.3699005,right,0,25.8554909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,6,1,13,1,231.3830704,,,,,,,,,231.3708486,231.4831765,232.2839034,232.2675467,232.2675902,232.2839034,232.2839034,232.2839034,,234.8023159,right,1,24.5291196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
left,left,accuracy,,,,,0,0,0,0,7,0,14,0,234.8164003,,,,,,,,,234.8030088,234.9165003,235.7169727,235.7006995,235.7007192,235.7169727,235.7169727,235.7169727,240.7004904,240.7027672,left,1,27.0050312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
right,right,accuracy,,,,,0,0,0,0,7,1,15,1,240.7160383,,,,,,,,,240.7035579,240.816114,241.6171782,241.6006393,241.6006827,241.6171782,241.6171782,241.6171782,,246.3189774,left,0,26.7182493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-038,1,2025-03-12_05h19.15.111,random_dot,03.02.2023,59.72688095,2025-03-12 05h19.30.633393 +0100
