direction,corrAns,thisN,thisTrialN,thisRepN,respDots.keys,respDots.corr,respDots.rt,respDots.duration,randomInstr,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,practice_trials.respDots.keys,practice_trials.respDots.corr,practice_trials.respDots.rt,practice_trials.respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,instr_trials.respRandomInstr.keys,instr_trials.respRandomInstr.rt,instr_trials.respRandomInstr.duration,test_trials.respDots.keys,test_trials.respDots.corr,test_trials.respDots.rt,test_trials.respDots.duration,stimulusDots.stopped,goodbye.started,textGoodbye.started,participant,session,expName,frameRate,Unnamed: 86
left,left,16.0,0.0,8.0,right,0.0,1.1385790319764055,,,,,,8.0,0.0,16.0,0.0,,,,,,,,,83.92384408798534,,,,,,,,,83.91821269699722,84.25760706199799,85.0519592219789,85.04127053599223,85.04206244199304,85.0519592219789,85.0519592219789,85.0519592219789,86.19442958099535,right,0.0,1.1385790319764055,,86.19450871000299,86.20154466998065,86.6870003749791,86.70107464498142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,17.0,1.0,8.0,left,0.0,3.938322592002805,,,,,,8.0,1.0,17.0,1.0,,,,,,,,,86.70107464498142,,,,,,,,,86.68732801597798,87.49179957297747,88.28589118100354,88.27497183298692,88.27576230699196,88.28589118100354,88.28589118100354,88.28589118100354,92.23506496899064,left,0.0,3.938322592002805,,92.23513196298154,92.24267003498971,92.7346902579884,92.74083900099504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,18.0,0.0,9.0,right,0.0,1.6831198770087212,,,,,,9.0,0.0,18.0,0.0,,,,,,,,,92.74083900099504,,,,,,,,,92.73493606300326,93.07509061699966,93.86960379200173,93.85971940899616,93.86033110300195,93.86960379200173,93.86960379200173,93.86960379200173,95.56188556499546,right,0.0,1.6831198770087212,,95.5619609139976,95.57102405899786,96.0578668009839,96.06785782598308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,19.0,1.0,9.0,right,1.0,1.3140902619925328,,,,,,9.0,1.0,19.0,1.0,,,,,,,,,96.06785782598308,,,,,,,,,96.05834718499682,96.16049776299042,96.96764823500416,96.95417774000089,96.95483422800316,96.96764823500416,96.96764823500416,96.96764823500416,98.28859790897695,right,1.0,1.3140902619925328,,98.29031581399612,98.30113804299616,98.7851809639833,98.7955348249816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7854074240022,98.7955348249816,98.7955348249816,101.86790536399349,space,3.0654421290091705,,,,,,,,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.86797244398622,101.87688134500058,101.87688134500058,106.29368707697722,space,4.414778926002327,,,,,,,,,,,,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,0.0,0.0,0.0,right,0.0,3.494847677997313,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.16386784199858,,,,,,,,,110.1560965559911,110.94167052899138,111.74264413199852,111.73454601797856,111.73501519599812,111.74264413199852,111.74264413199852,111.74264413199852,115.25233808197665,,,,,,,,,,,,,,,,,,,,,,,106.30855010799132,106.31733210399398,106.31733210399398,110.15107943999465,space,3.823796948010568,,right,0.0,3.494847677997313,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,1.0,1.0,0.0,left,0.0,2.214412023982732,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,115.25957012499566,,,,,,,,,115.25265148299512,116.04165205199388,116.8358303909772,116.82483070497985,116.8254659389786,116.8358303909772,116.8358303909772,116.8358303909772,119.05221432200052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,2.214412023982732,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,2.0,0.0,1.0,left,1.0,4.136327844986226,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,119.059410922986,,,,,,,,,119.05253101099515,119.4003073189815,120.192267669976,120.1842225069995,120.1846897279902,120.192267669976,120.192267669976,120.192267669976,124.33518233700306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,4.136327844986226,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,3.0,1.0,1.0,right,1.0,1.08557270799065,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,124.34362194797724,,,,,,,,,124.3354321049992,124.67548386598357,125.46813706899412,125.45842948398786,125.4591214969987,125.46813706899412,125.46813706899412,125.46813706899412,126.566205946001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,1.08557270799065,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,4.0,0.0,2.0,right,1.0,0.8528876999916974,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,126.57473493998988,,,,,,,,,126.56647210899972,127.35976514799404,128.15962630699505,128.15179019697823,128.15224097800092,128.15962630699505,128.15962630699505,128.15962630699505,129.01702840899816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.8528876999916974,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,5.0,1.0,2.0,left,1.0,0.7805121300043538,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,129.02362951799296,,,,,,,,,129.01742773599108,129.35687832298572,130.16712895198725,130.14201047900133,130.14281141199172,130.16712895198725,130.16712895198725,130.16712895198725,130.9517290329968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.7805121300043538,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,6.0,0.0,3.0,left,0.0,1.1585398530005475,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,130.95930796698667,,,,,,,,,130.95199622298242,131.04144235499552,131.84345687599853,131.8354356130003,131.8358929969836,131.84345687599853,131.84345687599853,131.84345687599853,133.01812893798342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,1.1585398530005475,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,7.0,1.0,3.0,right,0.0,2.7761271210038103,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,133.033848209976,,,,,,,,,133.01847597199958,133.8077794709825,134.6014583959768,134.5911992949841,134.59200277598575,134.6014583959768,134.6014583959768,134.6014583959768,137.38588179799262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,2.7761271210038103,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,8.0,0.0,4.0,left,1.0,1.3366851629980374,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,137.39398112997878,,,,,,,,,137.3865612569789,137.73375153599773,138.52701936400263,138.51875381197897,138.51940607998404,138.52701936400263,138.52701936400263,138.52701936400263,139.87278718999005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.3366851629980374,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,9.0,1.0,4.0,right,1.0,0.9111277969786896,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,139.8831454530009,,,,,,,,,139.87302112198086,140.2237253439962,141.01741559198126,141.0068336459808,141.00747301298543,141.01741559198126,141.01741559198126,141.01741559198126,141.9372186609835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.9111277969786896,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,10.0,0.0,5.0,left,1.0,4.445300137973391,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,141.94448773399927,,,,,,,,,141.93757189597818,142.284962101985,143.08424358197954,143.0737892499892,143.0744649079861,143.08424358197954,143.08424358197954,143.08424358197954,147.5387762610044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,4.445300137973391,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,11.0,1.0,5.0,left,0.0,1.6808313109795563,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,5.0,1.0,11.0,1.0,147.5496569169918,,,,,,,,,147.53910326797632,147.6335398159863,148.4247915649903,148.4168516639911,148.41723293697578,148.4247915649903,148.4247915649903,148.4247915649903,150.1104917670018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,1.6808313109795563,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,12.0,0.0,6.0,right,1.0,0.7512513319961727,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,6.0,0.0,12.0,1.0,150.1190023419913,,,,,,,,,150.11076174100162,150.20684000998153,151.00226228899555,150.99073791198316,150.99174426298123,151.00226228899555,151.00226228899555,151.00226228899555,151.76715513097588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.7512513319961727,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,13.0,1.0,6.0,left,1.0,0.769967464992078,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,6.0,1.0,13.0,0.0,151.77483347299858,,,,,,,,,151.7674093550013,152.56842836897704,153.36816218899912,153.35725517600076,153.35805927898036,153.36816218899912,153.36816218899912,153.36816218899912,154.1509446639975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.769967464992078,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,14.0,0.0,7.0,left,1.0,0.8038639390142635,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,154.15767210899503,,,,,,,,,154.15118411698495,154.491259057977,155.28620121898712,155.27484403699054,155.27562129299622,155.28620121898712,155.28620121898712,155.28620121898712,156.10113030899083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.8038639390142635,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,15.0,1.0,7.0,right,1.0,0.7286171659943648,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,7.0,1.0,15.0,1.0,156.11676605499815,,,,,,,,,156.1015024019871,156.1910047569836,156.9849464209983,156.97387927598902,156.9746775739768,156.9849464209983,156.9849464209983,156.9849464209983,157.7185595530027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,1.0,0.7286171659943648,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,16.0,0.0,8.0,left,1.0,1.697455575020285,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,157.72514315298758,,,,,,,,,157.71880130199133,157.80785065499367,158.6164247529814,158.5913907829963,158.5921736479795,158.6164247529814,158.6164247529814,158.6164247529814,160.3177865369944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.697455575020285,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,17.0,1.0,8.0,left,0.0,1.3198579869931564,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,8.0,1.0,17.0,1.0,160.3244222829817,,,,,,,,,160.31808874799754,160.40771122797742,161.2069696749968,161.19990214699646,161.20016361499438,161.2069696749968,161.2069696749968,161.2069696749968,162.5369948259904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,1.3198579869931564,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,18.0,0.0,9.0,left,0.0,0.9526594229973852,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,9.0,0.0,18.0,1.0,162.5445875239966,,,,,,,,,162.53722659198684,163.33321355798398,164.12413504399592,164.11707796898554,164.11731410599896,164.12413504399592,164.12413504399592,164.12413504399592,165.08667305400013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,0.9526594229973852,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,19.0,1.0,9.0,right,0.0,4.295723943010671,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,9.0,1.0,19.0,0.0,165.0940256199974,,,,,,,,,165.08689104099176,166.2846285989799,167.08501580898883,167.0733961359947,167.07417571000406,167.08501580898883,167.08501580898883,167.08501580898883,171.38381552998908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,4.295723943010671,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,20.0,0.0,10.0,left,1.0,1.5268675969855394,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,171.40042878498207,,,,,,,,,171.38406392998877,171.72304357399116,172.51669461498386,172.50649279600475,172.5072137649986,172.51669461498386,172.51669461498386,172.51669461498386,174.05258727099863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,1.5268675969855394,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,21.0,1.0,10.0,left,0.0,4.129810360987904,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,10.0,1.0,21.0,1.0,174.0590335750021,,,,,,,,,174.0528055909963,175.2514913569903,176.05096375697758,176.0403260779858,176.04097436598386,176.05096375697758,176.05096375697758,176.05096375697758,180.2012291699939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,4.129810360987904,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,22.0,0.0,11.0,left,1.0,2.4163953289971687,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,11.0,0.0,22.0,0.0,180.21644599098363,,,,,,,,,180.2017633819778,181.00242525400245,181.80108964798276,181.7904223939986,181.79124803299783,181.80108964798276,181.80108964798276,181.80108964798276,184.2274184309936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.4163953289971687,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,23.0,1.0,11.0,left,0.0,1.3761250219831709,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,11.0,1.0,23.0,1.0,184.23598119898816,,,,,,,,,184.22768710300443,184.32112395999135,185.11551539599893,185.10607001397875,185.1065978109837,185.11551539599893,185.11551539599893,185.11551539599893,186.49355312398984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,1.3761250219831709,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,24.0,0.0,12.0,left,0.0,5.308784586988622,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,12.0,0.0,24.0,1.0,186.5019310670032,,,,,,,,,186.4938050569908,186.59119141299743,187.39194332199983,187.38379165998776,187.3842529289832,187.39194332199983,187.39194332199983,187.39194332199983,192.70838178598208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,5.308784586988622,,192.3759684909892,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,25.0,1.0,12.0,left,1.0,0.8490794089739211,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,12.0,1.0,25.0,0.0,192.71837396197952,,,,,,,,,192.70862687699264,193.5057214499975,194.29984230198895,194.2894650009985,194.2899415009888,194.29984230198895,194.29984230198895,194.29984230198895,195.15277489298023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,0.8490794089739211,,,,,sub-088,1.0,random_dot,120.96078672052772,
right,right,26.0,0.0,13.0,left,0.0,1.6354263560206164,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,13.0,0.0,26.0,1.0,195.1602564719797,,,,,,,,,195.1531683619833,195.95061852497747,196.74940982100088,196.7392417989904,196.73974443998304,196.74940982100088,196.74940982100088,196.74940982100088,198.40054423199035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,0.0,1.6354263560206164,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,27.0,1.0,13.0,right,0.0,0.9398895970080048,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,13.0,1.0,27.0,0.0,198.40850138300448,,,,,,,,,198.40093789299132,198.74062629998664,199.54296738898847,199.53354949998905,199.53401377398404,199.54296738898847,199.54296738898847,199.54296738898847,200.48824766799223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,0.0,0.9398895970080048,,,,,sub-088,1.0,random_dot,120.96078672052772,
left,left,28.0,0.0,14.0,left,1.0,2.119508923002286,,accuracy,space,3.823796948010568,,,,,,0.0,0.0,0.0,0.0,14.0,0.0,28.0,0.0,200.4990901949932,,,,,,,,,200.4884696189838,200.83425312599863,201.6325515659992,201.62239832198247,201.62300027298625,201.6325515659992,201.6325515659992,201.6325515659992,203.7534517179884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left,1.0,2.119508923002286,,,,,sub-088,1.0,random_dot,120.96078672052772,
