direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,textGoodbye.stopped,goodbye.stopped,participant,session,expName,frameRate,Unnamed: 73
left,left,speed,,,,,0.0,0.0,0.0,1.0,10.0,0.0,20.0,0.0,134.07070389995351,,,,,,,,,134.05485949997092,134.40358489996288,135.2040524999611,135.18732579995412,135.18734829995083,135.2040524999611,135.2040524999611,135.2040524999611,135.8709630999947,right,0.0,14.314404600008857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,10.0,1.0,21.0,1.0,135.8873088999535,,,,,,,,,135.87169070000527,137.07008139998652,137.8706588000059,137.85376109997742,137.8537766999798,137.8706588000059,137.8706588000059,137.8706588000059,138.55473179998808,right,1.0,14.331138200010171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,11.0,0.0,22.0,1.0,138.57013700000243,,,,,,,,,138.55541639996227,139.77046969998628,140.5701063000015,140.553958399978,140.55397569999332,140.5701063000015,140.5701063000015,140.5701063000015,141.25416489999043,right,1.0,14.330487100058235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,11.0,1.0,23.0,0.0,141.27034069999354,,,,,,,,,141.2548021999537,141.35385289997794,142.1532466999488,142.13699929998256,142.13701389997732,142.1532466999488,142.1532466999488,142.1532466999488,142.75520339998184,left,1.0,14.256248600024264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,12.0,0.0,24.0,0.0,142.7704664999619,,,,,,,,,142.7558713000035,143.97030819999054,144.76997999998275,144.75345899997046,144.75347219995456,144.76997999998275,144.76997999998275,144.76997999998275,146.1877423999831,left,1.0,15.059964700019918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,12.0,1.0,25.0,1.0,146.2035692000063,,,,,,,,,146.18846569996094,146.5537674999796,147.35382799996296,147.3370147999958,147.33703609998338,147.35382799996296,147.35382799996296,147.35382799996296,148.2206050999812,right,1.0,14.510918900021352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,13.0,0.0,26.0,0.0,148.23661199997878,,,,,,,,,148.22124379995512,148.5702894999995,149.37023129995214,149.3540071999887,149.35402440000323,149.37023129995214,149.37023129995214,149.37023129995214,150.1204380999552,left,1.0,14.399857000040356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,13.0,1.0,27.0,1.0,150.13710769999307,,,,,,,,,150.12110599997686,150.21985199995106,151.02031009999337,151.00414199999068,151.00415890000295,151.02031009999337,151.02031009999337,151.02031009999337,152.2035394999548,right,1.0,14.823451600037515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
right,right,speed,,,,,0.0,0.0,0.0,1.0,14.0,0.0,28.0,1.0,152.21964109997498,,,,,,,,,152.20429249998415,153.00303309998708,153.8034533999744,153.786781599978,153.7868024999625,153.8034533999744,153.8034533999744,153.8034533999744,154.37041709996993,right,1.0,14.217990800039845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
left,left,speed,,,,,0.0,0.0,0.0,1.0,14.0,1.0,29.0,0.0,154.38642749999417,,,,,,,,,154.37111639999785,154.4867492999765,155.2869877999765,155.27040359994862,155.2704209999647,155.2869877999765,155.2869877999765,155.2869877999765,155.78739769995445,left,1.0,14.15438790002372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-032,1.0,random_dot,60.17115082874797,
